# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1538720cf26b_model
# start_datetime = 2023-06-19 14:24:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/standata-15382cd8736d.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/model_528b3f9cfb1e303abe35a8ef32934e2e-202306191124-3-1bbe1d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/model_528b3f9cfb1e303abe35a8ef32934e2e-profile-202306191124-3-56f6e7.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.342962
# Diagonal elements of inverse mass matrix:
# 10.3634, 14.2609, 0.913463, 0.945391, 0.977867, 1.05377, 1.23089, 1.06713, 1.24695, 0.911361, 1.73308, 1.03972, 0.910979, 0.905166, 1.09811, 0.903594, 1.1828, 1.04338, 0.931468, 1.33146, 1.03092, 1.26817, 0.932641, 1.04359, 0.860812, 1.11781, 0.870457, 0.892749, 1.42884, 0.87337, 0.940278, 0.919441, 0.932988, 1.26147, 0.744039, 0.937639, 0.965031, 1.5409, 0.917045, 1.02081, 1.08694, 0.946263, 1.01035, 1.09354, 1.10161, 0.852755, 1.82937, 0.966459, 0.858527, 0.916482, 0.981591, 1.06446, 0.938088, 0.970856, 0.727223, 1.4332, 1.05453, 1.0438, 0.900821, 1.12141, 0.980032, 1.14193, 0.997699, 0.940598, 1.24161, 1.00491, 1.05335, 0.78449, 1.02534, 1.01677, 1.00763, 0.955525, 0.885252, 1.38688, 0.839915, 0.818716, 0.932617, 0.802086, 1.10917, 1.05145, 0.94175, 0.964271, 1.56976, 1.0443, 1.04982, 1.01997, 1.00353, 0.90507, 0.899421, 0.916676, 1.00416, 1.35512, 0.910675, 0.889524, 0.998904, 1.05544, 0.9365, 1.03682, 0.9135, 1.22233, 1.16192, 1.27557, 1.63593, 1.21699, 1.46093, 0.966095, 0.804265, 1.09549, 0.837855, 0.913829, 1.10489, 0.904707, 0.956958, 0.953171
-146.985,0.991941,0.342962,4,15,0,203.703,-0.237458,0.733199,1.20312,-0.200923,-0.144624,1.12031,0.702081,-0.811418,0.308328,-1.1851,3.69639,0.326802,-1.27758,0.149937,0.144668,1.6826,-0.4414,0.161629,1.23323,1.69262,-0.031306,0.630386,-0.110912,0.639042,-0.344417,-1.32885,-0.198534,0.245953,0.647082,-0.0927178,-1.71473,-0.269111,0.631609,0.546818,0.710649,0.550784,-0.859064,0.642582,-1.70624,0.600566,0.227975,-0.0522451,0.458165,-0.878543,-0.427341,0.265984,3.41808,-0.222332,-1.25622,1.26286,-0.535863,-0.0680689,0.65678,1.14864,0.300855,2.20717,0.334701,-0.358317,0.489116,-0.60208,-0.0233761,-0.151279,1.21118,-0.592005,1.24577,0.295637,-0.536021,1.3984,0.224463,-1.16199,0.941723,-0.634427,0.244848,6.01688,0.688633,-0.222144,-2.26267,0.89562,0.0497856,0.343738,-0.17081,-0.98367,2.22981,-0.746169,-1.78501,-1.79702,0.331898,-0.604984,1.87976,0.543431,0.122286,2.38006,0.825868,-0.111884,-1.12348,-0.826927,-2.06098,0.438192,-1.4414,-0.400125,0.12886,0.415878,2.01456,4.71414,3.78119,-0.0451651,1.11422,-1.19339,1.31554,-1.15168,1.01579,0.908272,0.334601,0.573752,4.44721,-0.742689,-0.534588,4.14111,2.59516,-2.99932,1.1397,-4.3806,0.55315,-2.16245,0.253786,0.244868,2.84799,-0.747122,0.273577,2.08739,-0.0202576,0.407912,-0.0717693,0.413513,-0.222866,-0.859878,-0.128468,0.159152,-0.0595788,-1.10186,-0.172926,0.405861,0.351376,0.456651,0.353924,-0.552019,-5.83205,2.05278,0.779237,-0.178578,1.56605,-3.00293,-1.46068,0.909153,-0.490726,-2.77269,2.78735,-1.18274,-0.15024,1.44963,2.53525,0.664039,0.416962,-0.446381,0.609327,-0.750054,-0.0291212,-0.188459,1.50885,-0.737503,1.77881,-3.22518,8.41398,1.35056,-6.99154,5.66624,-3.81727,1.47322,1.53552,-0.49534,-5.04533,1.99706,0.111012,0.766472,-0.380874,-2.1934,-1.77593,-4.24844,-4.27703,0.789939,-1.4399,4.47395,1.2934,0.291048,0.106421,-0.0144174,-0.144772,-0.106558,-0.265578,0.0564655,-0.185739,-0.0515602,-0.170778,4.21306,-4.51242,4.9743,-4.35471,3.84089,3.43435,1.26519,2.16947,-27.5291,-0.237458
-162.235,0.806437,0.342962,4,15,0,194.611,2.12828,0.516775,-1.51336,0.29188,0.0524178,-1.8735,-0.686928,-0.166947,1.09044,1.52594,7.04064,-0.378035,1.24846,-0.56561,0.623708,-2.15312,0.761293,0.867764,-0.513602,2.10033,-0.536609,1.32286,-0.898361,-0.999891,1.12013,1.56349,0.135445,-0.335626,7.04137,0.493407,1.7428,1.36246,-0.761732,0.345468,-0.782756,-0.398816,1.49425,0.357016,1.88329,0.316857,-0.00592415,-0.149058,-0.189686,1.74675,-0.484516,-0.640308,6.5736,0.398936,0.902194,-1.11714,0.520764,-0.116029,-0.653701,-0.902193,-0.296018,1.49878,0.0784152,0.639874,-0.502059,0.154922,0.654339,0.3908,-1.48194,1.05909,1.58346,0.223909,1.25951,-1.56436,-0.300399,1.06236,-0.335051,-0.114675,-0.343496,2.57792,-1.27248,-0.157957,2.86303,-1.04106,0.021883,0.478068,0.233234,0.891208,1.56917,0.00615384,2.12362,0.793642,0.0627356,0.598285,-1.36709,-0.695337,0.743261,2.96917,-0.751195,-0.156337,1.35355,1.08823,1.60671,-0.132244,1.84339,0.186055,1.25566,0.693269,1.67458,9.09337,1.95118,-0.514568,-1.18599,1.24214,-1.09239,1.30052,-1.46397,-0.632661,-0.994753,-0.302021,-10.655,2.05502,0.369055,-13.1906,-4.83641,-1.17542,7.67739,10.7436,-0.793999,2.62217,-1.18797,1.30999,-4.52225,1.59897,1.82259,-1.07873,-3.77846,9.31477,-6.32569,-7.0406,7.88724,11.0091,0.953715,-2.36326,0.176154,0.622207,0.48642,-0.27195,0.123337,-0.279456,-0.142384,0.533471,12.38,2.08289,-0.0389429,-0.979846,-1.24692,11.4824,-3.18501,-4.20913,0.597916,1.35219,-1.67434,0.780509,-0.173902,-0.979752,-1.35219,-0.443665,0.124168,1.01322,-0.794992,0.245313,1.03612,0.618818,-2.34659,1.67703,0.57722,3.24693,-4.03281,-0.774407,2.73867,-0.863736,-0.295623,-0.885507,-1.99675,-0.247861,4.4926,-1.6336,0.0343383,0.750172,0.365984,1.39846,0.0182718,6.30541,2.35646,0.186273,1.77641,-4.05912,-2.06458,2.20687,-0.943243,-0.196305,1.69959,1.36645,2.01748,-0.166054,2.31467,0.233621,-1.00401,-2.31407,2.42363,-2.13146,2.53755,-2.85646,-1.23443,-1.94094,-0.589297,-35.7988,2.12828
-164.636,0.738746,0.342962,4,15,0,213.961,-0.747336,1.1108,-0.707413,0.698196,0.434913,-0.0685312,-1.92715,0.660209,0.935419,0.904271,4.90325,-0.0131428,1.04328,-1.09508,-1.05682,-1.82839,1.37693,0.75741,0.173766,2.97299,-1.30503,0.515312,-1.60596,-1.09158,0.211072,2.83141,0.530451,-0.811869,3.18619,-0.134921,0.719665,1.09433,0.0778491,-1.13581,0.180893,-1.3419,0.418851,0.776457,1.93872,-1.56063,-0.753445,-0.673225,-0.885237,1.23124,-0.748678,0.549231,0.707388,0.190982,0.309074,-1.10332,2.01372,-0.129397,-0.521679,-0.895976,-0.128737,1.12628,0.676412,-0.942979,0.985983,0.780023,-0.618221,0.450527,0.545545,0.726378,6.98332,2.23308,0.809443,-2.16485,-0.243298,1.01654,-0.546039,0.387598,0.618909,5.75012,-1.05685,-1.52767,2.74483,-1.23381,-0.944859,0.577006,-0.829766,1.11685,5.94885,-0.217015,0.0416184,-0.660217,0.34412,-0.645094,-1.72732,-0.49116,-0.774689,1.639,0.413671,0.436441,-0.944786,1.57607,1.48704,-0.0500467,1.0429,-1.06371,0.0985302,0.26441,1.90075,2.93408,2.45628,0.00749006,-0.289602,0.246429,0.503105,1.66518,-0.580039,0.549823,-1.04942,0.617333,-3.46863,3.42343,2.13249,-0.336025,-9.44929,3.23717,4.5866,4.43387,-0.0390733,3.10165,-3.25565,-3.14192,-5.43578,4.0936,2.25177,0.516603,-4.15809,1.64189,-5.11691,-3.47798,0.672516,9.02141,1.69012,-2.58677,-0.104761,0.558788,0.849698,0.0604464,-0.881907,0.140456,-1.04193,0.32522,1.37142,-1.10397,-0.532978,-0.476232,-0.626206,0.870961,-0.529606,0.388519,0.2151,0.348104,-1.24266,2.26802,-0.145738,-0.587558,-1.00912,-0.144994,4.7236,-6.58512,6.88543,5.44715,-4.31723,3.14617,3.80971,5.07253,12.8405,4.65439,-12.4482,-1.39899,5.84522,-3.13979,2.22873,3.5588,-6.28702,-9.08785,16.3286,-7.33972,-5.62083,3.43252,-4.93615,6.64399,-0.355686,0.0682124,-1.08209,0.564011,-1.05731,-2.83108,-0.80501,-1.26971,0.0407591,0.0430026,-0.09309,0.15529,0.146519,-0.00493112,0.102757,-0.104808,0.0183977,-0.711343,0.605298,1.23577,4.09016,-1.42474,1.35052,-2.57768,1.51634,-31.3191,-0.747336
-154.471,0.976307,0.342962,4,15,0,211.727,-3.23767,1.1007,-0.105818,-0.844302,-0.505534,0.985531,0.709489,0.681688,0.520573,-1.12914,2.95239,0.294999,-0.670588,0.288725,-0.0219874,1.68133,-0.400652,0.0722687,-0.528046,4.07114,0.891149,-0.347023,1.67379,1.27009,-0.481324,-1.58108,-0.77335,0.768606,0.875786,0.27674,-0.431399,-1.52382,0.0774628,0.375777,-0.260151,1.37338,-0.373539,0.60962,-1.44187,1.45391,-0.221288,-0.048251,-0.557902,-0.841689,0.647416,-0.707753,1.36138,-0.875284,-0.357195,0.44504,-1.39323,0.648392,-0.18182,0.379777,0.120235,2.74225,0.281471,0.760894,-0.895745,-0.88961,0.503984,0.597337,0.017581,-0.488497,0.858017,-0.000861678,-1.71464,2.37822,-0.612565,-0.288376,1.17821,-0.643122,-1.07497,1.81667,0.89803,1.35787,-1.55828,1.65168,1.36812,-1.09964,0.937426,-1.2575,2.0976,0.892245,1.03855,0.815029,0.180469,1.38737,1.43198,0.652685,0.228949,1.07928,-0.602558,-0.666701,0.445677,-2.33175,-1.53351,-0.746391,-0.795149,-0.043211,0.196058,0.43072,0.608619,2.24373,1.75133,0.0934813,-0.157165,0.418738,-0.519187,-1.35604,-0.158331,0.0260878,1.84067,-1.1555,-0.312417,-2.49271,-1.49253,2.90967,2.09469,2.01261,1.53693,-3.33365,1.20098,-2.73006,1.17544,-0.0895136,6.84492,-1.63111,0.294216,-2.14975,0.780456,-0.303918,1.46588,1.11233,-0.421537,-1.38469,-0.677289,0.673135,0.168706,-0.262989,-0.928952,0.0472229,0.229081,-0.158593,0.837237,-0.227717,-1.96293,1.97933,-0.301258,-0.065688,-0.759517,-1.14586,0.88138,-0.963521,-2.40025,-0.979519,1.22041,-3.82059,1.77805,-0.498595,1.04144,0.329715,0.241507,0.65286,-0.768565,-0.7633,0.432427,0.512525,0.0150848,-0.419139,-0.00156539,-3.11495,4.32045,-1.11283,-0.523885,2.14041,-1.16834,-1.95288,1.88371,2.84827,-3.26865,3.46457,2.86977,-2.3066,1.96635,-2.63773,0.962978,1.12088,0.879641,0.194775,1.49735,1.5455,0.704427,0.247099,-0.118136,-0.130712,0.0873785,-0.457157,-0.300657,-0.146336,-0.155895,-0.00847185,0.163717,-0.275248,0.733349,-0.909267,-2.37487,-0.27729,0.0456884,3.22363,-2.02366,-24.6184,-3.23767
-153.41,0.711526,0.342962,4,15,0,217.972,2.47725,0.0625823,0.130879,0.941748,0.537536,-1.01511,-1.10019,-0.76297,-0.32236,1.12594,0.373631,-0.287462,0.599342,0.193427,-0.171802,-1.47619,0.0591122,-0.0518207,0.337286,1.38467,-0.89459,0.53016,-1.74967,-1.31648,0.01244,1.57296,0.572013,-0.923662,3.29788,-0.314302,0.457744,1.63328,-0.108368,0.252984,-0.0593375,-1.09307,0.434685,2.00176,1.50765,-1.45502,0.250756,0.241031,0.562178,0.877253,-1.03725,0.0606815,3.62665,0.805067,0.647366,-0.132192,1.35399,-0.658834,0.182549,-0.35221,0.699049,1.99238,-0.234933,-0.731785,0.981784,0.88097,-0.449387,-0.778297,-0.00526023,0.401033,2.36994,-0.00446554,1.68066,-2.92433,0.612494,0.29702,-1.19695,0.643144,1.32213,2.42273,-1.48631,-1.15722,1.3316,-0.785245,-1.28524,1.10534,-0.81945,1.3826,4.68706,-0.939011,-0.989781,-0.817365,-0.166619,-1.3831,-1.31371,-0.564416,-0.17349,2.15617,0.565029,0.93194,-0.36851,2.25899,1.50621,0.719807,0.733297,0.571887,0.279363,0.688367,5.35101,6.17126,1.19457,-0.175438,0.430745,-0.519903,0.565552,1.461,-0.0118251,-0.120146,-1.58457,1.10092,0.0489004,0.351866,0.20084,-0.379277,-0.411066,-0.28507,-0.120444,0.420688,-0.398039,0.82989,0.267832,-0.237889,-2.04404,0.0818509,-0.0717545,0.467029,-2.95025,1.74841,-5.7702,-4.34161,0.0410258,5.18744,1.88643,-3.04613,-0.629159,0.916296,3.26944,-0.216926,0.506413,-0.11878,-2.18808,0.870138,5.46774,-5.27684,0.909406,0.874135,2.03883,3.18149,-3.76176,0.220071,1.604,1.2898,-0.263378,2.69767,-1.31265,0.363708,-0.701736,1.39277,-0.556777,-1.73428,2.32677,2.08784,-1.06502,-1.84452,-0.0124664,0.950424,-0.0108188,4.07179,-7.08485,1.48391,0.719599,-2.89989,1.55816,3.20316,-6.96643,-5.42398,6.2413,-3.68049,-6.02402,5.1808,-3.84082,6.48035,-2.02467,-2.13413,-1.76238,-0.359259,-2.9822,-2.83257,-1.21698,-0.374073,0.157848,0.260349,-0.102948,0.631078,0.420778,0.201087,0.204856,0.159764,-0.209573,0.514556,-0.621061,0.675592,1.74527,-0.0141259,-0.143523,-1.89288,1.31513,-29.0887,2.47725
-155.113,0.575037,0.342962,4,15,0,220.736,0.211966,-0.00927325,0.133596,-0.760289,-0.570347,0.777315,0.672287,-0.0204513,0.974333,-1.12139,0.888488,-0.121113,-0.444593,-0.0642248,0.166362,1.39998,0.059724,-0.0858711,-0.803777,4.35284,0.496376,-0.54682,1.27297,1.2979,-0.125964,-1.55433,-0.623367,0.894602,2.55383,0.197178,-0.316034,-1.67383,-0.151289,0.194099,-0.197255,1.06699,-0.750676,4.26326,-1.15424,1.01466,-0.768101,-0.196875,-0.405936,-0.554915,1.76615,-0.098843,0.476133,-0.736712,-0.687299,0.138946,-1.22912,0.346508,-0.361428,0.377132,-0.82675,4.9909,-0.126604,0.830708,-0.776968,-1.18108,0.464481,-0.027814,0.58623,-0.0271394,0.677241,0.569178,-1.25297,2.84103,-0.797055,0.376842,1.348,-0.71132,-1.46117,0.515141,1.48366,1.17954,-1.38785,0.731607,1.12094,-1.66944,0.701828,-1.16547,0.0689294,-0.103813,0.643439,1.34012,0.25757,1.30691,1.0247,0.641695,-0.0794529,4.13065,-0.609686,-1.07962,0.885827,-2.01623,-1.15107,-0.307954,-0.776258,-0.311831,0.620873,0.612791,3.09193,3.11288,0.971731,0.420857,-0.406853,0.663569,-0.562445,-1.74906,-0.0119745,0.18235,1.28166,-1.25841,0.118698,-0.675507,-0.506747,0.690635,0.597319,-0.0181708,0.865683,-0.996343,-0.527187,-1.93524,-0.27956,0.724146,6.09389,0.259969,-0.373783,-3.49871,1.26766,-1.39649,3.25095,3.31461,-0.32169,-3.96949,-1.59197,2.28466,0.84062,-1.34733,-7.13596,-0.644985,0.827494,-0.840947,4.54887,-3.20033,-0.549571,0.483113,-0.365718,-0.0937385,-0.193279,-0.264213,0.840921,-0.0470624,-3.67686,-3.43024,0.693464,-6.13441,1.72939,-1.80385,1.88223,-4.12623,-0.0857417,0.56259,-0.526194,-0.799875,0.314566,-0.0188368,0.397019,-0.0183799,0.293207,-0.645459,1.46353,-0.410596,0.194127,0.694413,-0.36643,-0.752707,0.102268,0.0813049,-0.0956636,0.0504292,0.0772658,-0.115073,0.0483765,-0.0803353,-0.428813,2.65782,5.53557,1.06393,5.39838,4.23269,2.65062,-0.328192,-0.378538,-0.670309,0.549987,-1.25182,-0.71467,-0.191201,-0.481958,-0.193607,0.40896,-0.395351,0.64481,-0.546545,-1.69962,-0.011636,0.177195,1.24542,-1.22283,-27.5678,0.211966
